Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.089678,0.104882,0.082400,0.970833,0.092372,0.471213,0.017889,0.050295,0.084527,0.000504,1.317324,2.019971,2.212906,2.221368,-1.152941,1.131320,1.511312,-0.640760,-1.115334
sub-102,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.071040,0.078817,0.061382,1.016631,0.069878,0.303157,0.018614,0.044049,0.070094,0.000626,1.470381,-0.071707,-0.282571,-0.284626,-0.165031,-0.032133,-0.210808,-0.537044,-0.062425
sub-103,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.054407,0.063617,0.047878,1.008909,0.053927,0.224757,0.010178,0.036091,0.054651,0.001190,1.558583,-1.938244,-1.737868,-1.894829,-0.331596,-1.514231,-2.053577,-0.057736,0.544335
sub-106,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.060557,0.070098,0.054129,1.033272,0.058607,0.283352,0.011337,0.042189,0.061002,0.000391,1.623902,-1.248061,-1.117342,-1.149503,0.193944,-0.378537,-1.295680,-0.736724,0.993672
sub-107,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.064420,0.071283,0.057091,0.972837,0.066219,0.330656,0.009628,0.040498,0.066855,0.001722,1.450750,-0.814586,-1.003894,-0.796252,-1.109710,-0.693525,-0.597357,0.394651,-0.197470
sub-108,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.086886,0.098610,0.078183,1.108568,0.078377,0.369961,0.016291,0.046159,0.081193,0.000665,1.368236,1.706666,1.612384,1.718612,1.818152,0.361020,1.113469,-0.503664,-0.765096
sub-109,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.077856,0.086165,0.067959,0.985020,0.079040,0.401219,0.013411,0.053729,0.077337,0.000626,1.614314,0.693281,0.420876,0.499542,-0.846898,1.770933,0.653429,-0.536932,0.927713
sub-110,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.080386,0.092988,0.071015,1.043943,0.077002,0.317935,0.015292,0.049643,0.073074,0.001072,1.537129,0.977198,1.074190,0.863911,0.424134,1.009880,0.144677,-0.157581,0.396745
sub-111,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.061207,0.075287,0.051354,1.015195,0.060290,0.277614,0.010729,0.038602,0.061374,0.000584,1.467501,-1.175223,-0.620528,-1.480338,-0.195990,-1.046536,-1.251400,-0.572773,-0.082236
sub-112,ernie_sphere_5mm_focality,sphere_x36.1_y14.14_z0.33_r5.0,0.066321,0.072572,0.060990,1.007605,0.065820,0.345718,0.010958,0.042494,0.064932,0.001589,1.520890,-0.601305,-0.880492,-0.331357,-0.359721,-0.321600,-0.826845,0.281650,0.285036
