Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.323539,0.351936,0.290578,1.448460,0.223367,0.767762,0.045781,0.287860,0.339409,0.106199,2.786882,0.561469,0.067043,0.694962,0.118565,1.865426,0.152479,0.522738,1.511259
sub-102,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.280637,0.325732,0.239861,1.405475,0.199674,0.810626,0.027547,0.187383,0.308439,0.014683,2.115675,-0.574125,-0.409204,-0.958416,-0.287558,-0.881121,-0.422699,-1.077209,-0.554896
sub-103,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.285666,0.314018,0.255672,1.419353,0.201265,1.191400,0.034535,0.195328,0.304534,0.059219,2.146543,-0.440996,-0.622095,-0.442966,-0.156433,-0.663941,-0.495220,-0.298602,-0.459877
sub-106,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.249408,0.302324,0.214492,1.426338,0.174859,0.542559,0.036038,0.192203,0.292984,0.109416,2.310109,-1.400734,-0.834625,-1.785433,-0.090436,-0.749375,-0.709726,0.578974,0.043623
sub-107,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.266997,0.308512,0.229354,1.345658,0.198414,0.808623,0.021283,0.170927,0.301843,0.000225,1.897119,-0.935146,-0.722164,-1.300945,-0.852701,-1.330948,-0.545200,-1.329972,-1.227673
sub-108,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.349276,0.389120,0.321221,1.499127,0.232986,1.337779,0.054762,0.264080,0.361473,0.051309,2.486435,1.242727,0.742827,1.693926,0.597273,1.215382,0.562259,-0.436892,0.586402
sub-109,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.303918,0.355273,0.271824,1.282847,0.236909,1.356730,0.034013,0.236153,0.337694,0.105163,2.215878,0.042125,0.127693,0.083566,-1.446142,0.452001,0.120626,0.504613,-0.246446
sub-110,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.320230,0.343702,0.303472,1.462961,0.218891,0.816549,0.048141,0.217610,0.337457,0.062344,2.228698,0.473884,-0.082610,1.115301,0.255574,-0.054853,0.116219,-0.243961,-0.206982
sub-111,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.257926,0.300444,0.230426,1.353311,0.190589,0.935553,0.032544,0.177595,0.292811,0.036154,2.022870,-1.175269,-0.868791,-1.265985,-0.780396,-1.148662,-0.712938,-0.701841,-0.840577
sub-112,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.293332,0.316236,0.270964,1.516737,0.193397,0.647199,0.037778,0.218266,0.303121,0.032306,2.469926,-0.238086,-0.581778,0.055558,0.763647,-0.036944,-0.521460,-0.769107,0.535581
sub-114,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.345851,0.370682,0.313980,1.614393,0.214230,0.720077,0.040595,0.279366,0.357208,0.146930,2.878028,1.152064,0.407726,1.457877,1.686307,1.633245,0.483045,1.234825,1.791830
sub-115,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.237346,0.261114,0.218493,1.396001,0.170018,0.527384,0.009336,0.161392,0.256166,0.023724,2.029937,-1.720004,-1.583582,-1.654997,-0.377062,-1.591574,-1.393516,-0.919147,-0.818822
sub-116,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.363236,0.452197,0.305397,1.748135,0.207785,0.918485,0.036316,0.253968,0.423352,0.095937,2.562636,1.612243,1.889216,1.178069,2.949893,0.938982,1.711468,0.343335,0.820968
sub-117,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.267913,0.296561,0.249980,1.529466,0.175168,0.560677,0.029637,0.227084,0.283018,0.166594,2.900139,-0.910899,-0.939371,-0.628547,0.883914,0.204098,-0.894820,1.578591,1.859892
sub-118,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.260967,0.292132,0.228997,1.437066,0.181597,0.655361,0.021794,0.197084,0.264237,0.067682,2.450492,-1.094779,-1.019858,-1.312587,0.010915,-0.615931,-1.243615,-0.150645,0.475758
sub-119,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.317122,0.365891,0.278132,1.442359,0.219863,0.960662,0.038552,0.223600,0.331159,0.088166,2.218338,0.391614,0.320665,0.289227,0.060924,0.108885,-0.000742,0.207478,-0.238872
sub-120,ernie_sphere_5mm_max_TINormal,sphere_x36.1_y14.14_z0.33_r5.0,0.327054,0.405055,0.278133,1.457171,0.224444,1.660083,0.040928,0.226726,0.396970,0.071100,2.169325,0.654507,1.032443,0.289245,0.200870,0.194332,1.221512,-0.090896,-0.389749
