Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.347881,0.399776,0.309562,1.381180,0.251873,1.040484,0.062493,0.238816,0.386494,0.084775,2.039912,0.634096,0.605318,0.805460,-1.041419,0.958995,0.807422,0.735592,0.117092
sub-102,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.307709,0.340131,0.271942,1.439642,0.213740,0.651666,0.030320,0.153559,0.319480,0.000221,1.567743,-0.296972,-0.464512,-0.255728,-0.621002,-0.772899,-0.445020,-0.880636,-0.861472
sub-103,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.331477,0.356327,0.302222,1.668173,0.198707,0.572812,0.055946,0.169424,0.331434,0.001374,1.846494,0.253895,-0.174001,0.598408,1.022450,-0.450628,-0.221613,-0.858582,-0.283763
sub-106,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.249958,0.304684,0.214455,1.379482,0.181197,0.521987,0.038914,0.189095,0.295599,0.094071,2.215111,-1.635441,-1.100291,-1.877312,-1.053627,-0.051034,-0.891338,0.913281,0.480190
sub-107,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.278413,0.318787,0.244802,1.480094,0.188105,0.619190,0.034998,0.152530,0.304917,0.001193,1.707117,-0.975942,-0.847334,-1.021279,-0.330097,-0.793812,-0.717194,-0.862053,-0.572620
sub-108,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.350421,0.403119,0.321747,1.651705,0.212157,0.620282,0.046483,0.243731,0.377629,0.000444,2.524317,0.692951,0.665268,1.149186,0.904023,1.058833,0.641741,-0.876370,1.121015
sub-109,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.338302,0.385345,0.297062,1.493802,0.226470,0.648305,0.044402,0.240742,0.354010,0.105163,2.437880,0.412077,0.346477,0.452864,-0.231512,0.998115,0.200327,1.125302,0.941876
sub-110,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.310594,0.355295,0.280246,1.601506,0.193938,0.838200,0.037220,0.209722,0.347397,0.071884,2.305576,-0.230110,-0.192514,-0.021493,0.543023,0.367979,0.076719,0.489195,0.667678
sub-111,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.277905,0.313798,0.246429,1.351392,0.205643,0.891842,0.036617,0.175427,0.311746,0.027044,1.832527,-0.987733,-0.936830,-0.975399,-1.255636,-0.328677,-0.589565,-0.367911,-0.312710
sub-112,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.334069,0.349279,0.303854,1.803890,0.185194,0.896537,0.036007,0.154852,0.326448,0.004392,1.866248,0.313963,-0.300429,0.644452,1.998435,-0.746631,-0.314789,-0.800911,-0.242823
sub-114,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.334519,0.363403,0.294544,1.785941,0.187307,0.773906,0.036940,0.249891,0.360126,0.118068,3.016482,0.324392,-0.047081,0.381848,1.869355,1.183971,0.314620,1.371979,2.141020
sub-115,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.231632,0.254127,0.210924,1.352087,0.171315,0.471428,0.041071,0.157546,0.245062,0.023724,1.869172,-2.060165,-2.007113,-1.976922,-1.250633,-0.691909,-1.835836,-0.431378,-0.236764
sub-116,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.368180,0.459109,0.308411,1.784971,0.206267,0.906965,0.024810,0.276999,0.432882,0.152371,2.714138,1.104558,1.669529,0.772999,1.862386,1.734630,1.674391,2.027686,1.514417
sub-117,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.259887,0.286018,0.243182,1.576415,0.164860,0.634551,0.046156,0.222598,0.281462,0.167058,2.808322,-1.405311,-1.435100,-1.066994,0.362587,0.629533,-1.155548,2.308426,1.709611
sub-118,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.277515,0.302304,0.247457,1.497204,0.185355,0.458206,0.032325,0.156921,0.280674,0.001261,1.921399,-0.996773,-1.142995,-0.946407,-0.207053,-0.704600,-1.170272,-0.860748,-0.128524
sub-119,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.350595,0.384553,0.319020,1.634957,0.214437,0.596397,0.055576,0.087327,0.348364,0.000136,0.979068,0.696981,0.332275,1.072260,0.783578,-2.118330,0.094800,-0.882257,-2.081491
sub-120,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.336016,0.423124,0.283836,1.493802,0.224940,1.185128,0.041457,0.253129,0.409183,0.092291,2.372524,0.359096,1.024089,0.079785,-0.231512,1.249734,1.231467,0.879260,0.806426
sub-121,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.363515,0.379659,0.340159,1.456600,0.249564,0.899239,0.052047,0.173024,0.351389,0.000660,1.578656,0.996426,0.244479,1.668547,-0.499050,-0.377502,0.151337,-0.872244,-0.838855
sub-122,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.352035,0.410526,0.262926,1.600791,0.219913,0.830623,0.037272,0.161046,0.388466,0.000282,1.672299,0.730366,0.798127,-0.510050,0.537883,-0.620805,0.844285,-0.879465,-0.644780
sub-123,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.271908,0.331982,0.240345,1.416526,0.191954,0.656496,0.034560,0.202598,0.326092,0.022569,2.405532,-1.126722,-0.610664,-1.147014,-0.787231,0.223256,-0.321454,-0.453457,0.874834
sub-124,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.287383,0.352102,0.258298,1.335608,0.215170,0.571001,0.060827,0.150801,0.340788,0.002564,1.476670,-0.768049,-0.249793,-0.640599,-1.369146,-0.828933,-0.046793,-0.835847,-1.050218
sub-125,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.366584,0.386637,0.300638,1.734930,0.211296,0.786810,0.060382,0.104868,0.349945,0.000972,1.057233,1.067560,0.369637,0.553738,1.502523,-1.761996,0.124350,-0.866268,-1.919495
sub-127,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.368273,0.392555,0.336748,1.625300,0.226588,0.748284,0.048948,0.242237,0.354879,0.119765,2.440093,1.106705,0.475790,1.572330,0.714132,1.028480,0.216565,1.404430,0.946462
sub-128,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.358836,0.404392,0.318791,1.510069,0.237629,0.691845,0.064049,0.245609,0.379738,0.071393,2.216466,0.887993,0.688105,1.065799,-0.114534,1.096990,0.681152,0.479813,0.482998
sub-129,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.293608,0.336981,0.260029,1.348404,0.217745,0.594816,0.047838,0.210641,0.321090,0.078191,2.006133,-0.623788,-0.520997,-0.591758,-1.277121,0.386653,-0.414937,0.609749,0.047086
