Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.340244,0.394678,0.299683,1.396231,0.243687,1.136300,0.065404,0.245735,0.368755,0.111353,2.081564,0.322602,0.382206,0.365552,-0.970184,0.924158,0.333078,0.923291,0.118051
sub-102,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.302994,0.334575,0.267790,1.387774,0.218331,0.766183,0.039194,0.163559,0.319357,0.001163,1.636931,-0.517697,-0.619191,-0.500792,-1.033724,-0.772411,-0.573295,-0.896375,-0.809131
sub-103,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.324727,0.352294,0.292928,1.589822,0.204253,0.568579,0.054718,0.174856,0.331093,0.004927,1.809021,-0.027450,-0.323960,0.182050,0.484362,-0.539185,-0.357959,-0.834208,-0.450277
sub-106,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.247497,0.305981,0.211443,1.334677,0.185436,0.532357,0.045848,0.205736,0.302698,0.128882,2.253242,-1.769636,-1.095594,-2.031411,-1.432667,0.098360,-0.878963,1.212756,0.476046
sub-107,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.276537,0.315691,0.242605,1.436716,0.192479,0.590020,0.039646,0.151991,0.298932,0.001443,1.633330,-1.114541,-0.933817,-1.184917,-0.666003,-1.011240,-0.948079,-0.891742,-0.816640
sub-108,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.366268,0.422879,0.336102,1.569307,0.233395,0.620491,0.049586,0.260587,0.391932,0.001429,2.461618,0.909659,0.852055,1.354835,0.330217,1.230789,0.758357,-0.891978,0.910567
sub-109,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.312240,0.352896,0.279496,1.384002,0.225607,0.641947,0.044740,0.226905,0.337264,0.094975,2.238697,-0.309124,-0.313942,-0.182818,-1.062068,0.535401,-0.244739,0.652819,0.445715
sub-110,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.322962,0.368148,0.299620,1.669848,0.193408,0.799054,0.034471,0.225443,0.360429,0.124918,2.468925,-0.067266,-0.059814,0.363824,1.085630,0.505213,0.180317,1.147296,0.925804
sub-111,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.278247,0.304863,0.246009,1.374722,0.202402,0.888812,0.037171,0.183491,0.300407,0.046207,1.898408,-1.075972,-1.114213,-1.092459,-1.131796,-0.360911,-0.921015,-0.152519,-0.263881
sub-112,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.336463,0.351664,0.306742,1.800139,0.186910,0.856181,0.034598,0.167873,0.330360,0.000995,1.926105,0.237313,-0.334453,0.557306,2.064575,-0.683353,-0.371410,-0.899154,-0.206123
sub-114,flex_spherical_x36.1y14.14z0.33r5.0_max_normalTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.328145,0.360651,0.288313,1.784977,0.183837,0.745404,0.035273,0.249772,0.354106,0.133395,3.015827,0.049656,-0.184725,0.056687,1.950655,1.007492,0.064291,1.287289,2.066244
