Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.013832,0.015860,0.012590,0.574443,0.000000,0.000000,0.000000,0.010301,0.012995,0.005795,0.884243,-0.633736,-0.633731,-0.630227,-0.890163,-0.488304,-0.599681,0.452852,-0.323564
sub-102,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.016713,0.018789,0.014315,0.711891,0.000000,0.000000,0.000000,0.004161,0.011727,0.000084,0.375368,-0.609825,-0.611538,-0.614107,-0.725777,-0.633661,-0.612497,-0.322391,-1.034898
sub-103,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.134608,0.157023,0.115997,1.610560,0.083578,0.375017,0.014383,0.064547,0.107383,0.022499,1.768328,0.368600,0.435877,0.336109,0.349022,0.795812,0.354239,2.720377,0.912259
sub-106,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.025708,0.030416,0.022552,0.820408,0.000000,0.000000,0.000000,0.009748,0.018930,0.000047,0.695779,-0.535180,-0.523441,-0.537138,-0.595992,-0.501416,-0.539705,-0.327396,-0.587011
sub-107,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.022671,0.025197,0.020124,0.863728,0.000000,0.000000,0.000000,0.006792,0.021512,0.000012,0.616580,-0.560377,-0.562984,-0.559827,-0.544182,-0.571370,-0.513607,-0.332040,-0.697718
sub-108,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.033258,0.037042,0.030558,1.069936,0.000000,0.000000,0.000000,0.010634,0.026518,0.000245,0.842416,-0.472516,-0.473232,-0.462316,-0.297559,-0.480420,-0.463018,-0.300533,-0.382032
sub-109,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.041622,0.049134,0.036375,1.491430,0.000000,0.000000,0.000000,0.013718,0.031652,0.000032,1.170813,-0.403103,-0.381609,-0.407959,0.206544,-0.407417,-0.411132,-0.329428,0.077020
sub-110,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.303111,0.321141,0.268591,2.213601,0.000000,0.000000,0.000000,0.086109,0.197212,0.001701,1.563484,1.767029,1.679427,1.762104,1.070253,1.306213,1.262088,-0.102828,0.625917
sub-111,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.016682,0.019136,0.015107,0.823822,0.000000,0.000000,0.000000,0.008375,0.012740,0.000598,1.002586,-0.610082,-0.608908,-0.606712,-0.591909,-0.533903,-0.602262,-0.252558,-0.158139
sub-112,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_mapped,sphere_x36.1_y14.14_z0.33_r5.0,0.041108,0.043474,0.039335,1.011371,0.000000,0.000000,0.000000,0.024709,0.038134,0.004457,1.382599,-0.407366,-0.424494,-0.380300,-0.367603,-0.147245,-0.345620,0.271274,0.373065
