Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.008544,0.009239,0.007736,0.589447,0.000000,0.000000,0.000000,0.002959,0.007825,0.000042,0.427394,-0.637085,-0.642024,-0.633158,-0.834980,-0.629251,-0.609357,-0.356880,-0.901608
sub-102,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.008379,0.009697,0.006828,0.653338,0.000000,0.000000,0.000000,0.002338,0.005897,0.000004,0.391575,-0.638409,-0.638639,-0.641346,-0.760102,-0.643465,-0.627470,-0.363759,-0.947842
sub-103,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.112966,0.132968,0.096867,1.618503,0.069797,0.358501,0.011768,0.060007,0.097193,0.030173,1.902232,0.202549,0.273436,0.169819,0.371039,0.676251,0.230410,5.102677,1.002098
sub-106,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.020977,0.025101,0.018055,0.849761,0.000000,0.000000,0.000000,0.010345,0.017336,0.000515,0.932034,-0.537114,-0.524665,-0.540198,-0.529900,-0.460224,-0.519984,-0.271303,-0.250224
sub-107,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.017001,0.017932,0.015657,0.912489,0.000000,0.000000,0.000000,0.005357,0.016168,0.000136,0.667566,-0.569086,-0.577709,-0.561805,-0.456385,-0.574378,-0.530959,-0.340001,-0.591596
sub-108,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.038232,0.042271,0.034502,1.223813,0.000000,0.000000,0.000000,0.013783,0.034923,0.000057,1.103602,-0.398369,-0.397626,-0.392027,-0.091524,-0.381544,-0.354726,-0.354247,-0.028766
sub-109,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.026816,0.029759,0.023233,1.271045,0.000000,0.000000,0.000000,0.010994,0.026484,0.000078,1.235138,-0.490166,-0.490199,-0.493552,-0.036170,-0.445377,-0.434018,-0.350377,0.141020
sub-110,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.313733,0.331886,0.287224,2.298215,0.000000,0.000000,0.000000,0.091171,0.214531,0.002151,1.644392,1.816865,1.745212,1.884745,1.167638,1.389425,1.333002,0.025262,0.669281
sub-111,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.009868,0.010836,0.008534,0.671231,0.000000,0.000000,0.000000,0.001326,0.003677,0.000033,0.211343,-0.626442,-0.630210,-0.625970,-0.739132,-0.666617,-0.648335,-0.358669,-1.180484
sub-112,flex_spherical_x36.1y14.14z0.33r5.0_focality_maxTI_optimized,sphere_x36.1_y14.14_z0.33_r5.0,0.026767,0.029069,0.024953,0.849719,0.000000,0.000000,0.000000,0.011769,0.022272,0.000058,0.894252,-0.490563,-0.495305,-0.478055,-0.529950,-0.427633,-0.473596,-0.354004,-0.298993
