Montage,TImax_ROI,TImean_ROI,TImean_GM,Focality
Fp1_Pz <> C3_C4,0.1748,0.1418,0.1595,0.8892
Fp1_Pz <> C3_F4,0.2321,0.148,0.1723,0.8587
Fp1_Pz <> C3_P4,0.1632,0.115,0.1637,0.7025
Fp1_Pz <> F3_C4,0.1884,0.1558,0.1803,0.8643
Fp1_Pz <> F3_F4,0.2045,0.1352,0.1232,1.0973
Fp1_Pz <> F3_P4,0.1961,0.1578,0.2124,0.7431
Fp1_Pz <> P3_C4,0.1967,0.1391,0.1604,0.8672
Fp1_Pz <> P3_F4,0.2324,0.1535,0.2021,0.7595
Fp1_Pz <> P3_P4,0.1241,0.0915,0.1277,0.7165
Fp1_O1 <> C3_C4,0.2155,0.1406,0.1496,0.9398
Fp1_O1 <> C3_F4,0.2887,0.1771,0.1658,1.0679
Fp1_O1 <> C3_P4,0.1623,0.1132,0.1557,0.7274
Fp1_O1 <> F3_C4,0.1837,0.1465,0.1643,0.892
Fp1_O1 <> F3_F4,0.2442,0.1518,0.1202,1.2631
Fp1_O1 <> F3_P4,0.198,0.1576,0.1965,0.8021
Fp1_O1 <> P3_C4,0.238,0.1514,0.1594,0.9498
