Montage,Current_Ch1_mA,Current_Ch2_mA,TImax_ROI,TImean_ROI,TImean_GM,Focality,Composite_Index
F7_P7 <> F3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0866,0.0537,0.0416,1.2925,0.0694
F7_P7 <> F3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1732,0.1075,0.0831,1.2939,0.1390
F7_P7 <> F3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2598,0.1612,0.1187,1.3585,0.2190
F7_P7 <> F3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3461,0.2147,0.1239,1.7337,0.3723
F7_P7 <> F3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1844,0.1026,1.7971,0.3314
F7_P7 <> F3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0688,1.7860,0.2196
F7_P7 <> F3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7845,0.1097
F7_P7 <> F3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0830,0.0480,0.0347,1.3818,0.0663
F7_P7 <> F3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1659,0.0959,0.0693,1.3838,0.1327
F7_P7 <> F3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2489,0.1439,0.1002,1.4360,0.2066
F7_P7 <> F3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3319,0.1917,0.1107,1.7321,0.3321
F7_P7 <> F3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3011,0.1842,0.0989,1.8628,0.3431
F7_P7 <> F3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0687,1.7894,0.2200
F7_P7 <> F3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7847,0.1097
F7_P7 <> F3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0984,0.0574,0.0456,1.2592,0.0723
F7_P7 <> F3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1969,0.1148,0.0911,1.2600,0.1447
F7_P7 <> F3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2953,0.1722,0.1324,1.3010,0.2241
F7_P7 <> F3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3926,0.2263,0.1320,1.7143,0.3879
F7_P7 <> F3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1844,0.1029,1.7918,0.3304
F7_P7 <> F3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0689,1.7858,0.2196
F7_P7 <> F3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7845,0.1097
F7_P7 <> F3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0998,0.0569,0.0444,1.2800,0.0728
F7_P7 <> F3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1995,0.1137,0.0885,1.2850,0.1461
F7_P7 <> F3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2993,0.1704,0.1245,1.3690,0.2333
F7_P7 <> F3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3930,0.2195,0.1279,1.7161,0.3767
F7_P7 <> F3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1842,0.1024,1.7989,0.3314
F7_P7 <> F3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0688,1.7870,0.2197
F7_P7 <> F3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7846,0.1097
F7_P7 <> F3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0845,0.0529,0.0384,1.3801,0.0731
F7_P7 <> F3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1690,0.1059,0.0765,1.3839,0.1465
F7_P7 <> F3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2536,0.1586,0.1102,1.4386,0.2281
F7_P7 <> F3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3381,0.2037,0.1205,1.6905,0.3443
F7_P7 <> F3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1836,0.1010,1.8183,0.3338
F7_P7 <> F3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1229,0.0687,1.7907,0.2202
F7_P7 <> F3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7850,0.1097
F7_P7 <> FC3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0848,0.0456,0.0338,1.3478,0.0614
F7_P7 <> FC3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1695,0.0911,0.0676,1.3490,0.1229
F7_P7 <> FC3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2543,0.1367,0.0987,1.3849,0.1893
F7_P7 <> FC3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3390,0.1821,0.1117,1.6305,0.2970
F7_P7 <> FC3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1835,0.0995,1.8449,0.3385
F7_P7 <> FC3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0686,1.7931,0.2205
F7_P7 <> FC3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7852,0.1098
F7_P7 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0250,1.4475,0.0523
F7_P7 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0723,0.0499,1.4482,0.1047
F7_P7 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1824,0.1085,0.0738,1.4706,0.1595
F7_P7 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2432,0.1446,0.0894,1.6184,0.2341
F7_P7 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3007,0.1771,0.0892,1.9859,0.3518
F7_P7 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0680,1.8087,0.2224
F7_P7 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7860,0.1098
F7_P7 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0530,0.0410,1.2921,0.0685
F7_P7 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2036,0.1060,0.0819,1.2934,0.1371
F7_P7 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3054,0.1588,0.1197,1.3268,0.2107
F7_P7 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3965,0.2051,0.1255,1.6342,0.3352
F7_P7 <> FC3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1825,0.1013,1.8023,0.3290
F7_P7 <> FC3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1229,0.0687,1.7900,0.2200
F7_P7 <> FC3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7849,0.1097
F7_P7 <> FC3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1045,0.0553,0.0423,1.3069,0.0723
F7_P7 <> FC3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2090,0.1105,0.0839,1.3174,0.1456
F7_P7 <> FC3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3135,0.1652,0.1171,1.4105,0.2330
F7_P7 <> FC3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3962,0.2041,0.1226,1.6641,0.3396
F7_P7 <> FC3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1798,0.1005,1.7887,0.3216
F7_P7 <> FC3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1227,0.0686,1.7891,0.2195
F7_P7 <> FC3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7849,0.1097
F7_P7 <> FC3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0887,0.0511,0.0364,1.4017,0.0716
F7_P7 <> FC3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1775,0.1020,0.0723,1.4105,0.1439
F7_P7 <> FC3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2662,0.1519,0.1032,1.4721,0.2236
F7_P7 <> FC3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3538,0.1891,0.1146,1.6502,0.3120
F7_P7 <> FC3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1761,0.0984,1.7884,0.3149
F7_P7 <> FC3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1225,0.0683,1.7931,0.2196
F7_P7 <> FC3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7853,0.1097
F7_P7 <> AF7_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1010,0.0611,0.0441,1.3866,0.0848
F7_P7 <> AF7_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2020,0.1223,0.0880,1.3890,0.1699
F7_P7 <> AF7_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3030,0.1834,0.1277,1.4366,0.2635
F7_P7 <> AF7_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3540,0.2358,0.1312,1.7967,0.4236
F7_P7 <> AF7_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1844,0.1032,1.7877,0.3297
F7_P7 <> AF7_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0689,1.7847,0.2194
F7_P7 <> AF7_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7844,0.1097
F7_P7 <> AF7_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1036,0.0588,0.0399,1.4726,0.0865
F7_P7 <> AF7_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2072,0.1175,0.0795,1.4778,0.1737
F7_P7 <> AF7_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3109,0.1763,0.1149,1.5344,0.2705
F7_P7 <> AF7_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3540,0.2249,0.1226,1.8349,0.4127
F7_P7 <> AF7_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3008,0.1844,0.1016,1.8149,0.3347
F7_P7 <> AF7_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0688,1.7875,0.2198
F7_P7 <> AF7_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7846,0.1097
F7_P7 <> AF7_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0937,0.0596,0.0427,1.3951,0.0831
F7_P7 <> AF7_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1874,0.1192,0.0854,1.3952,0.1663
F7_P7 <> AF7_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2812,0.1788,0.1277,1.3999,0.2503
F7_P7 <> AF7_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3749,0.2376,0.1354,1.7544,0.4168
F7_P7 <> AF7_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1844,0.1034,1.7846,0.3291
F7_P7 <> AF7_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0689,1.7844,0.2194
F7_P7 <> AF7_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7844,0.1097
F7_P7 <> AF7_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0924,0.0549,0.0378,1.4499,0.0795
F7_P7 <> AF7_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1849,0.1097,0.0756,1.4506,0.1591
F7_P7 <> AF7_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2773,0.1646,0.1120,1.4698,0.2419
F7_P7 <> AF7_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3698,0.2194,0.1263,1.7372,0.3811
F7_P7 <> AF7_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1844,0.1029,1.7922,0.3306
F7_P7 <> AF7_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0689,1.7854,0.2195
F7_P7 <> AF7_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0345,1.7844,0.1097
F7_P7 <> AF7_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0797,0.0491,0.0312,1.5759,0.0774
F7_P7 <> AF7_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1594,0.0982,0.0623,1.5761,0.1548
F7_P7 <> AF7_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2391,0.1474,0.0933,1.5792,0.2327
F7_P7 <> AF7_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3187,0.1963,0.1146,1.7131,0.3363
F7_P7 <> AF7_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3012,0.1844,0.1011,1.8250,0.3366
F7_P7 <> AF7_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2008,0.1230,0.0687,1.7892,0.2200
F7_P7 <> AF7_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1004,0.0615,0.0344,1.7848,0.1097
F7_P7 <> F9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0898,0.0527,0.0411,1.2818,0.0676
F7_P7 <> F9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1797,0.1054,0.0818,1.2893,0.1359
F7_P7 <> F9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2695,0.1581,0.1166,1.3557,0.2143
F7_P7 <> F9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3442,0.2081,0.1268,1.6418,0.3417
F7_P7 <> F9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2903,0.1841,0.1026,1.7939,0.3302
