electrode_name,x,y
FPz,529,182
Fp1,409,202
Fp2,647,202
AF3,407,279
AFz,529,280
AF4,649,279
AF7,293,259
AF8,763,255
F7,119,300
F5,212,341
F3,286,361
F1,370,370
Fz,450,377
F2,533,372
F4,611,375
F6,694,370
F8,772,359
F10,847,343
FT9,939,304
FT7,64,420
FC5,160,450
FC3,252,461
FC1,347,472
FCz,438,477
FC2,534,474
FC4,620,474
FC6,715,470
FT8,810,465
FT10,901,454
T7,996,425
C5,139,572
C3,237,570
C1,336,572
Cz,431,568
C2,529,568
C4,629,572
C6,729,572
T8,821,572
TP9,923,570
TP7,62,726
CP5,164,690
CP3,252,679
CP1,345,677
CPz,438,670
CP2,527,665
CP4,622,670
CP6,717,676
TP8,808,677
TP10,899,692
P9,994,722
P7,123,840
P5,218,803
P3,291,783
P1,370,772
Pz,448,767
P2,529,765
P4,606,767
P6,695,772
P8,770,781
P10,851,801
PO7,940,842
PO4,298,887
PO8,411,869
O1,531,865
O3,647,871
