# FreeSurfer-style colour lookup table for HarvardOxford-cort-maxprob-thr25-1mm.nii.gz
# Source: FSL HarvardOxford-Cortical.xml (NeuroDebian fsldata 5.0.7-2); label value = XML index + 1, 0 = background.
# Names are FSL's, whitespace-stripped, spaces replaced by hyphens. Colours are TI-Toolbox's own.
# No. LabelName R G B A
0 Background 0 0 0 0
1 Frontal-Pole 242 84 84 0
2 Insular-Cortex 84 130 242 0
3 Superior-Frontal-Gyrus 176 242 84 0
4 Middle-Frontal-Gyrus 242 84 222 0
5 Inferior-Frontal-Gyrus-pars-triangularis 84 242 215 0
6 Inferior-Frontal-Gyrus-pars-opercularis 242 169 84 0
7 Precentral-Gyrus 124 84 242 0
8 Temporal-Pole 91 242 84 0
9 Superior-Temporal-Gyrus-anterior-division 242 84 137 0
10 Superior-Temporal-Gyrus-posterior-division 84 183 242 0
11 Middle-Temporal-Gyrus-anterior-division 229 242 84 0
12 Middle-Temporal-Gyrus-posterior-division 209 84 242 0
13 Middle-Temporal-Gyrus-temporooccipital-part 84 242 163 0
14 Inferior-Temporal-Gyrus-anterior-division 242 117 84 0
15 Inferior-Temporal-Gyrus-posterior-division 84 98 242 0
16 Inferior-Temporal-Gyrus-temporooccipital-part 144 242 84 0
17 Postcentral-Gyrus 242 84 190 0
18 Superior-Parietal-Lobule 84 236 242 0
19 Supramarginal-Gyrus-anterior-division 242 202 84 0
20 Supramarginal-Gyrus-posterior-division 156 84 242 0
21 Angular-Gyrus 84 242 110 0
22 Lateral-Occipital-Cortex-superior-division 242 84 104 0
23 Lateral-Occipital-Cortex-inferior-division 84 150 242 0
24 Intracalcarine-Cortex 196 242 84 0
25 Frontal-Medial-Cortex 241 84 242 0
26 Juxtapositional-Lobule-Cortex-(formerly-Supplementary-Motor-Cortex) 84 242 195 0
27 Subcallosal-Cortex 242 149 84 0
28 Paracingulate-Gyrus 103 84 242 0
29 Cingulate-Gyrus-anterior-division 111 242 84 0
30 Cingulate-Gyrus-posterior-division 242 84 157 0
31 Precuneous-Cortex 84 203 242 0
32 Cuneal-Cortex 242 235 84 0
33 Frontal-Orbital-Cortex 189 84 242 0
34 Parahippocampal-Gyrus-anterior-division 84 242 143 0
35 Parahippocampal-Gyrus-posterior-division 242 97 84 0
36 Lingual-Gyrus 84 118 242 0
37 Temporal-Fusiform-Cortex-anterior-division 164 242 84 0
38 Temporal-Fusiform-Cortex-posterior-division 242 84 210 0
39 Temporal-Occipital-Fusiform-Cortex 84 242 228 0
40 Occipital-Fusiform-Gyrus 242 182 84 0
41 Frontal-Operculum-Cortex 136 84 242 0
42 Central-Opercular-Cortex 84 242 90 0
43 Parietal-Operculum-Cortex 242 84 125 0
44 Planum-Polare 84 170 242 0
45 Heschl's-Gyrus-(includes-H1-and-H2) 216 242 84 0
46 Planum-Temporale 221 84 242 0
47 Supracalcarine-Cortex 84 242 175 0
48 Occipital-Pole 242 129 84 0
