# FreeSurfer-style colour lookup table for HarvardOxford-cortl-maxprob-thr25-1mm.nii.gz
# Source: FSL HarvardOxford-Cortical-Lateralized.xml (NeuroDebian fsldata 5.0.7-2); label value = XML index + 1, 0 = background.
# Names are FSL's, spaces replaced by hyphens. Colours are TI-Toolbox's own (dev/build_lateralized_atlases.py).
# No. LabelName R G B A
0 Background 0 0 0 0
1 Left-Frontal-Pole 242 84 84 0
2 Right-Frontal-Pole 84 130 242 0
3 Left-Insular-Cortex 176 242 84 0
4 Right-Insular-Cortex 242 84 222 0
5 Left-Superior-Frontal-Gyrus 84 242 216 0
6 Right-Superior-Frontal-Gyrus 242 170 84 0
7 Left-Middle-Frontal-Gyrus 124 84 242 0
8 Right-Middle-Frontal-Gyrus 91 242 84 0
9 Left-Inferior-Frontal-Gyrus,-pars-triangularis 242 84 137 0
10 Right-Inferior-Frontal-Gyrus,-pars-triangularis 84 183 242 0
11 Left-Inferior-Frontal-Gyrus,-pars-opercularis 229 242 84 0
12 Right-Inferior-Frontal-Gyrus,-pars-opercularis 209 84 242 0
13 Left-Precentral-Gyrus 84 242 163 0
14 Right-Precentral-Gyrus 242 117 84 0
15 Left-Temporal-Pole 84 98 242 0
16 Right-Temporal-Pole 144 242 84 0
17 Left-Superior-Temporal-Gyrus,-anterior-division 242 84 190 0
18 Right-Superior-Temporal-Gyrus,-anterior-division 84 236 242 0
19 Left-Superior-Temporal-Gyrus,-posterior-division 242 202 84 0
20 Right-Superior-Temporal-Gyrus,-posterior-division 156 84 242 0
21 Left-Middle-Temporal-Gyrus,-anterior-division 84 242 110 0
22 Right-Middle-Temporal-Gyrus,-anterior-division 242 84 104 0
23 Left-Middle-Temporal-Gyrus,-posterior-division 84 150 242 0
24 Right-Middle-Temporal-Gyrus,-posterior-division 197 242 84 0
25 Left-Middle-Temporal-Gyrus,-temporooccipital-part 242 84 242 0
26 Right-Middle-Temporal-Gyrus,-temporooccipital-part 84 242 196 0
27 Left-Inferior-Temporal-Gyrus,-anterior-division 242 150 84 0
28 Right-Inferior-Temporal-Gyrus,-anterior-division 103 84 242 0
29 Left-Inferior-Temporal-Gyrus,-posterior-division 111 242 84 0
30 Right-Inferior-Temporal-Gyrus,-posterior-division 242 84 157 0
31 Left-Inferior-Temporal-Gyrus,-temporooccipital-part 84 203 242 0
