number	label	r	g	b
0	Frontal-Pole	193	220	210
1	Insular	214	222	155
2	Superior-Frontal-Gyrus	99	214	174
3	Middle-Frontal-Gyrus	10	80	10
4	IFG-pars-triangularis	117	70	241
5	IFG-pars-opercularis	102	240	131
6	Precentral-Gyrus	224	18	26
7	Temporal-Pole	206	97	119
8	STG-anterior	1	87	89
9	STG-posterior	209	241	93
10	MTG-anterior	136	35	65
11	MTG-posterior	194	237	136
12	MTG-temporooccipital	195	66	117
13	ITG-anterior	205	158	255
14	ITG-posterior	47	145	56
15	ITG-temporooccipital	99	76	184
16	Postcentral-Gyrus	233	192	244
17	Superior-Parietal-Lobule	82	209	26
18	Supramarginal-Gyrus-anterior	131	34	31
19	Supramarginal-Gyrus-posterior	25	68	241
20	Angular-Gyrus	217	116	91
21	Lateral-Occipital-superior	154	232	197
22	Lateral-Occipital-inferior	36	95	70
23	Intracalcarine	139	95	18
24	Frontal-Medial	75	229	49
25	Juxtapositional-Lobul	116	194	124
26	Subcallosal	52	42	182
27	Paracingulate-Gyrus	247	91	87
28	Cingulate-Gyrus-anterior	55	223	50
29	Cingulate-Gyrus-posterior	34	153	254
30	Precuneous	176	171	67
31	Cuneal	3	143	88
32	Frontal-Orbital	142	55	107
33	Parahippocampal-Gyrus-anterior	80	80	236
34	Parahippocampal-Gyrus-posterior	21	212	242
35	Lingual-Gyrus	91	153	50
36	Temporal-Fusiform-anterior	67	91	253
37	Temporal-Fusiform-posterior	191	94	162
38	Temporal-Occipital-Fusiform	192	183	91
39	Occipital-Fusiform-Gyrus	0	41	173
40	Frontal-Operculum	5	246	137
41	Central-Opercular	208	33	124
42	Parietal-Operculum Cortex	66	121	43
43	Planum-Polare	199	215	250
44	Heschls-Gyrus	40	184	190
45	Planum-Temporale	211	93	151
46	Supracalcarine-Cortex	178	174	117
47	Occipital-Pole	136	108	53
