number	label	r	g	b
1	L-V1	29	130	102
2	L-MST	25	171	222
3	L-V6	128	241	93
4	L-V2	253	139	224
5	L-V3	168	80	232
6	L-V4	229	96	215
7	L-V8	44	130	115
8	L-4	162	151	149
9	L-3b	133	50	31
10	L-FEF	15	158	30
11	L-PEF	107	254	2
12	L-55b	253	184	111
13	L-V3A	124	231	92
14	L-RSC	64	151	150
15	L-POS2	106	134	34
16	L-V7	28	36	180
17	L-IPS1	104	64	94
18	L-FFC	105	149	185
19	L-V3B	206	228	100
20	L-LO1	5	183	111
21	L-LO2	61	196	63
22	L-PIT	18	204	74
23	L-MT	82	247	173
24	L-A1	171	84	111
25	L-PSL	36	202	199
26	L-SFL	142	135	199
27	L-PCV	62	153	223
28	L-STV	80	72	132
29	L-7Pm	82	180	97
30	L-7m	206	178	210
31	L-POS1	253	134	210
32	L-23d	79	84	155
33	L-v23ab	226	244	164
34	L-d23ab	225	252	170
35	L-31pv	140	111	34
36	L-5m	184	177	138
37	L-5mv	7	123	202
38	L-23c	231	199	176
39	L-5L	254	91	40
40	L-24dd	0	59	236
41	L-24dv	136	27	23
42	L-7AL	146	6	162
43	L-SCEF	248	158	11
44	L-6ma	221	243	133
45	L-7Am	184	117	84
46	L-7PL	117	30	205
47	L-7PC	241	176	170
48	L-LIPv	135	109	106
49	L-VIP	142	125	125
50	L-MIP	110	172	202
51	L-1	130	176	219
52	L-2	250	203	197
53	L-3a	173	187	189
54	L-6d	221	208	255
55	L-6mp	50	136	130
56	L-6v	77	244	216
57	L-p24pr	184	146	225
58	L-33pr	62	231	23
59	L-a24pr	115	103	105
60	L-p32pr	37	29	249
61	L-a24	233	230	195
62	L-d32	180	215	33
63	L-8BM	74	150	14
64	L-p32	24	32	129
65	L-10r	255	78	57
66	L-47m	50	147	45
67	L-8Av	63	224	141
68	L-8Ad	89	33	112
69	L-9m	103	15	245
70	L-8BL	10	234	127
71	L-9p	103	254	250
72	L-10d	133	26	218
73	L-8C	145	45	166
74	L-44	25	213	98
75	L-45	104	114	20
76	L-47l	2	122	180
77	L-a47r	64	101	149
78	L-6r	126	144	113
79	L-IFJa	10	67	41
80	L-IFJp	224	113	119
81	L-IFSp	100	109	27
82	L-IFSa	196	247	230
83	L-p9-46v	146	70	156
84	L-46	179	241	7
85	L-a9-46v	129	222	61
86	L-9-46d	84	137	166
87	L-9a	146	116	113
88	L-10v	28	113	252
89	L-a10p	36	201	228
90	L-10pp	218	179	50
91	L-11l	148	200	206
92	L-13l	42	93	210
93	L-OFC	55	237	131
94	L-47s	186	161	71
95	L-LIPd	143	128	4
96	L-6a	15	220	247
97	L-i6-8	240	70	239
98	L-s6-8	84	82	16
99	L-43	32	217	83
100	L-OP4	153	73	26
101	L-OP1	229	12	168
102	L-OP2-3	159	156	30
103	L-52	105	244	17
104	L-RI	232	194	34
105	L-PFcm	18	84	211
106	L-PoI2	243	69	62
107	L-TA2	185	10	146
108	L-FOP4	23	60	206
109	L-MI	251	205	52
110	L-Pir	7	120	28
111	L-AVI	217	197	158
112	L-AAIC	69	165	242
113	L-FOP1	179	48	233
114	L-FOP3	116	103	153
115	L-FOP2	4	50	0
116	L-PFt	73	205	37
117	L-AIP	106	9	85
118	L-EC	112	65	185
119	L-PreS	98	69	211
120	L-H	24	136	69
121	L-ProS	219	29	228
122	L-PeEc	185	144	17
123	L-STGa	55	66	214
124	L-PBelt	52	67	184
125	L-A5	28	24	222
126	L-PHA1	14	8	187
127	L-PHA3	40	184	7
128	L-STSda	177	36	252
129	L-STSdp	67	25	221
130	L-STSvp	132	16	215
131	L-TGd	158	11	136
132	L-TE1a	229	24	171
133	L-TE1p	112	130	134
134	L-TE2a	40	65	200
135	L-TF	164	79	198
136	L-TE2p	158	187	7
137	L-PHT	202	182	91
138	L-PH	60	240	83
139	L-TPOJ1	98	89	46
140	L-TPOJ2	237	48	64
141	L-TPOJ3	162	64	71
142	L-DVT	26	110	208
143	L-PGp	122	157	81
144	L-IP2	19	154	32
145	L-IP1	6	163	204
146	L-IP0	253	68	97
147	L-PFop	219	89	126
148	L-PF	151	120	100
149	L-PFm	243	61	89
150	L-PGi	201	28	180
151	L-PGs	125	180	121
152	L-V6A	151	155	34
153	L-VMV1	66	16	34
154	L-VMV3	31	193	27
155	L-PHA2	152	143	98
156	L-V4t	237	152	170
157	L-FST	150	188	2
158	L-V3CD	61	227	64
159	L-LO3	92	40	255
160	L-VMV2	193	232	122
161	L-31pd	11	226	250
162	L-31a	170	183	139
163	L-VVC	170	151	217
164	L-25	219	56	236
165	L-s32	143	105	221
166	L-pOFC	28	219	44
167	L-PoI1	77	145	74
168	L-Ig	108	169	81
169	L-FOP5	170	18	154
170	L-p10p	29	76	191
171	L-p47r	255	210	132
172	L-TGv	187	218	92
173	L-MBelt	237	205	101
174	L-LBelt	29	133	214
175	L-A4	14	104	119
176	L-STSva	14	180	200
177	L-TE1m	242	209	144
178	L-PI	144	13	79
179	L-a32pr	178	138	95
180	L-p24	35	180	72
1001	R-V1	212	35	201
1002	R-MST	148	142	138
1003	R-V6	188	21	224
1004	R-V2	123	10	71
1005	R-V3	144	131	161
1006	R-V4	187	211	26
1007	R-V8	65	235	87
1008	R-4	236	246	204
1009	R-3b	190	219	113
1010	R-FEF	141	80	145
1011	R-PEF	248	152	239
1012	R-55b	5	35	17
1013	R-V3A	84	200	183
1014	R-RSC	187	76	240
1015	R-POS2	106	157	12
1016	R-V7	148	27	31
1017	R-IPS1	100	252	175
1018	R-FFC	125	167	32
1019	R-V3B	211	10	239
1020	R-LO1	243	164	159
1021	R-LO2	72	234	15
1022	R-PIT	170	234	222
1023	R-MT	151	70	126
1024	R-A1	158	141	114
1025	R-PSL	110	193	69
1026	R-SFL	196	166	189
1027	R-PCV	171	158	224
1028	R-STV	225	28	212
1029	R-7Pm	92	53	175
1030	R-7m	241	113	54
1031	R-POS1	104	28	57
1032	R-23d	160	114	180
1033	R-v23ab	100	149	139
1034	R-d23ab	169	80	38
1035	R-31pv	255	102	159
1036	R-5m	135	95	116
1037	R-5mv	212	78	150
1038	R-23c	35	59	131
1039	R-5L	86	62	170
1040	R-24dd	239	96	11
1041	R-24dv	21	60	198
1042	R-7AL	37	163	6
1043	R-SCEF	38	8	196
1044	R-6ma	128	150	107
1045	R-7Am	57	164	189
1046	R-7PL	45	148	176
1047	R-7PC	29	222	81
1048	R-LIPv	167	134	22
1049	R-VIP	202	251	28
1050	R-MIP	0	0	0
1051	R-1	220	119	160
1052	R-2	207	104	41
1053	R-3a	217	101	241
1054	R-6d	102	147	89
1055	R-6mp	94	156	234
1056	R-6v	219	117	106
1057	R-p24pr	148	26	248
1058	R-33pr	255	171	131
1059	R-a24pr	63	230	147
1060	R-p32pr	17	124	0
1061	R-a24	238	158	216
1062	R-d32	124	245	130
1063	R-8BM	238	192	22
1064	R-p32	243	146	10
1065	R-10r	20	18	34
1066	R-47m	87	213	49
1067	R-8Av	230	133	95
1068	R-8Ad	216	96	254
1069	R-9m	54	241	141
1070	R-8BL	245	110	40
1071	R-9p	245	49	114
1072	R-10d	222	8	251
1073	R-8C	127	16	121
1074	R-44	172	210	78
1075	R-45	30	86	227
1076	R-47l	70	234	34
1077	R-a47r	149	155	236
1078	R-6r	188	203	119
1079	R-IFJa	220	127	6
1080	R-IFJp	206	117	51
1081	R-IFSp	202	134	141
1082	R-IFSa	68	150	167
1083	R-p9-46v	250	3	253
1084	R-46	158	59	248
1085	R-a9-46v	12	188	125
1086	R-9-46d	62	66	215
1087	R-9a	227	154	62
1088	R-10v	93	28	172
1089	R-a10p	72	139	140
1090	R-10pp	185	68	3
1091	R-11l	124	55	31
1092	R-13l	133	249	126
1093	R-OFC	73	208	168
1094	R-47s	110	106	6
1095	R-LIPd	157	44	122
1096	R-6a	236	146	39
1097	R-i6-8	118	70	194
1098	R-s6-8	217	132	134
1099	R-43	75	170	41
1100	R-OP4	138	25	208
1101	R-OP1	192	27	218
1102	R-OP2-3	94	15	240
1103	R-52	138	34	180
1104	R-RI	67	55	148
1105	R-PFcm	22	212	253
1106	R-PoI2	229	22	105
1107	R-TA2	115	250	35
1108	R-FOP4	225	76	188
1109	R-MI	225	220	214
1110	R-Pir	158	100	203
1111	R-AVI	198	222	211
1112	R-AAIC	32	42	138
1113	R-FOP1	182	95	65
1114	R-FOP3	208	246	34
1115	R-FOP2	50	78	237
1116	R-PFt	60	248	191
1117	R-AIP	228	73	161
1118	R-EC	181	124	202
1119	R-PreS	114	156	157
1120	R-H	82	96	182
1121	R-ProS	85	98	21
1122	R-PeEc	113	111	222
1123	R-STGa	76	61	248
1124	R-PBelt	143	8	225
1125	R-A5	75	78	98
1126	R-PHA1	234	207	57
1127	R-PHA3	200	31	132
1128	R-STSda	45	249	189
1129	R-STSdp	78	103	31
1130	R-STSvp	100	193	74
1131	R-TGd	213	4	9
1132	R-TE1a	87	59	28
1133	R-TE1p	220	219	55
1134	R-TE2a	132	63	140
1135	R-TF	194	75	6
1136	R-TE2p	189	219	105
1137	R-PHT	164	144	98
1138	R-PH	189	38	0
1139	R-TPOJ1	103	156	153
1140	R-TPOJ2	34	74	170
1141	R-TPOJ3	145	206	163
1142	R-DVT	234	44	92
1143	R-PGp	61	246	182
1144	R-IP2	147	186	76
1145	R-IP1	2	93	125
1146	R-IP0	63	153	65
1147	R-PFop	241	48	60
1148	R-PF	169	41	226
1149	R-PFm	192	132	167
1150	R-PGi	164	239	113
1151	R-PGs	21	149	220
1152	R-V6A	240	122	5
1153	R-VMV1	153	228	132
1154	R-VMV3	27	99	162
1155	R-PHA2	1	61	162
1156	R-V4t	177	156	9
1157	R-FST	148	237	123
1158	R-V3CD	41	209	10
1159	R-LO3	177	5	38
1160	R-VMV2	229	115	229
1161	R-31pd	79	130	24
1162	R-31a	72	49	107
1163	R-VVC	106	57	183
1164	R-25	16	214	197
1165	R-s32	69	26	87
1166	R-pOFC	245	230	239
1167	R-PoI1	13	29	195
1168	R-Ig	250	119	224
1169	R-FOP5	57	184	37
1170	R-p10p	93	87	97
1171	R-p47r	194	90	58
1172	R-TGv	97	36	68
1173	R-MBelt	134	93	225
1174	R-LBelt	141	222	148
1175	R-A4	206	185	35
1176	R-STSva	178	224	167
1177	R-TE1m	11	188	246
1178	R-PI	184	71	123
1179	R-a32pr	253	151	167
1180	R-p24	60	56	0
