# FreeSurfer color lookup table for MorelMNI152_labeling_1mm.nii.gz
# Source: Morel Atlas of the Human Thalamus, MNI152 voxelized version, Zenodo 10.5281/zenodo.13918589
# License: CC BY-NC-SA 4.0. Copyright University of Zurich and ETH Zurich, Andras Jakab, Remi Blanc and Gabor Szekely
# Label map method: binary nucleus masks combined into one label map; first listed label wins in overlaps
# No. LabelName R G B A
0 Background 0 0 0 0
1 Morel_Left_AD_Anterodorsal_nucleus 109 147 242 0
2 Morel_Left_AM_Anteromedial_nucleus 186 242 109 0
3 Morel_Left_AV_Anteroventral_nucleus 242 109 225 0
4 Morel_Left_CeM_Central_medial_nucleus 109 242 219 0
5 Morel_Left_CL_Central_lateral_nucleus 242 181 109 0
6 Morel_Left_CM_Centromedian_nucleus 142 109 242 0
7 Morel_Left_Hb_Habenula 114 242 109 0
8 Morel_Left_LD_Lateral_dorsal_nucleus 242 109 153 0
9 Morel_Left_LGNmc_Lateral_geniculate_magnocellular 109 192 242 0
10 Morel_Left_LGNpc_Lateral_geniculate_parvocellular 231 242 109 0
11 Morel_Left_Li_Limitans_nucleus 214 109 242 0
12 Morel_Left_LP_Lateral_posterior_nucleus 109 242 175 0
13 Morel_Left_MDmc_Mediodorsal_magnocellular 242 136 109 0
14 Morel_Left_MDpc_Mediodorsal_parvocellular 109 120 242 0
15 Morel_Left_MGN_Medial_geniculate_nucleus 159 242 109 0
16 Morel_Left_mtt_Mammillothalamic_tract 242 109 198 0
17 Morel_Left_MV_Medioventral_nucleus 109 236 242 0
18 Morel_Left_Pf_Parafascicular_nucleus 242 208 109 0
19 Morel_Left_Po_Posterior_nucleus 169 109 242 0
20 Morel_Left_PuA_Pulvinar_anterior 109 242 130 0
21 Morel_Left_PuI_Pulvinar_inferior 242 109 126 0
22 Morel_Left_PuL_Pulvinar_lateral 109 164 242 0
23 Morel_Left_PuM_Pulvinar_medial 203 242 109 0
24 Morel_Left_Pv_Paraventricular_nucleus 241 109 242 0
25 Morel_Left_RN_Red_nucleus 109 242 202 0
26 Morel_Left_SG_Suprageniculate_nucleus 242 164 109 0
27 Morel_Left_sPf_Subparafascicular_nucleus 125 109 242 0
28 Morel_Left_STh_Subthalamic_nucleus 131 242 109 0
29 Morel_Left_VAmc_Ventral_anterior_magnocellular 242 109 170 0
30 Morel_Left_VApc_Ventral_anterior_parvocellular 109 209 242 0
31 Morel_Left_VLa_Ventral_lateral_anterior 242 236 109 0
32 Morel_Left_VLpd_Ventral_lateral_posterior_dorsal 197 109 242 0
33 Morel_Left_VLpv_Ventral_lateral_posterior_ventral 109 242 158 0
34 Morel_Left_VM_Ventral_medial_nucleus 242 119 109 0
35 Morel_Left_VPI_Ventral_posterior_inferior 109 137 242 0
36 Morel_Left_VPLa_Ventral_posterior_lateral_anterior 176 242 109 0
37 Morel_Left_VPLp_Ventral_posterior_lateral_posterior 242 109 215 0
38 Morel_Left_VPM_Ventral_posterior_medial 109 242 230 0
101 Morel_Right_AD_Anterodorsal_nucleus 109 242 179 0
102 Morel_Right_AM_Anteromedial_nucleus 242 140 109 0
103 Morel_Right_AV_Anteroventral_nucleus 109 116 242 0
104 Morel_Right_CeM_Central_medial_nucleus 155 242 109 0
105 Morel_Right_CL_Central_lateral_nucleus 242 109 194 0
106 Morel_Right_CM_Centromedian_nucleus 109 232 242 0
107 Morel_Right_Hb_Habenula 242 212 109 0
108 Morel_Right_LD_Lateral_dorsal_nucleus 173 109 242 0
109 Morel_Right_LGNmc_Lateral_geniculate_magnocellular 109 242 134 0
110 Morel_Right_LGNpc_Lateral_geniculate_parvocellular 242 109 122 0
111 Morel_Right_Li_Limitans_nucleus 109 160 242 0
112 Morel_Right_LP_Lateral_posterior_nucleus 199 242 109 0
113 Morel_Right_MDmc_Mediodorsal_magnocellular 242 109 238 0
114 Morel_Right_MDpc_Mediodorsal_parvocellular 109 242 206 0
115 Morel_Right_MGN_Medial_geniculate_nucleus 242 168 109 0
116 Morel_Right_mtt_Mammillothalamic_tract 129 109 242 0
117 Morel_Right_MV_Medioventral_nucleus 127 242 109 0
118 Morel_Right_Pf_Parafascicular_nucleus 242 109 166 0
119 Morel_Right_Po_Posterior_nucleus 109 205 242 0
120 Morel_Right_PuA_Pulvinar_anterior 242 240 109 0
121 Morel_Right_PuI_Pulvinar_inferior 201 109 242 0
122 Morel_Right_PuL_Pulvinar_lateral 109 242 162 0
123 Morel_Right_PuM_Pulvinar_medial 242 123 109 0
124 Morel_Right_Pv_Paraventricular_nucleus 109 133 242 0
125 Morel_Right_RN_Red_nucleus 172 242 109 0
126 Morel_Right_SG_Suprageniculate_nucleus 242 109 211 0
127 Morel_Right_sPf_Subparafascicular_nucleus 109 242 234 0
128 Morel_Right_STh_Subthalamic_nucleus 242 195 109 0
129 Morel_Right_VAmc_Ventral_anterior_magnocellular 156 109 242 0
130 Morel_Right_VApc_Ventral_anterior_parvocellular 109 242 117 0
131 Morel_Right_VLa_Ventral_lateral_anterior 242 109 139 0
132 Morel_Right_VLpd_Ventral_lateral_posterior_dorsal 109 177 242 0
133 Morel_Right_VLpv_Ventral_lateral_posterior_ventral 216 242 109 0
134 Morel_Right_VM_Ventral_medial_nucleus 228 109 242 0
135 Morel_Right_VPI_Ventral_posterior_inferior 109 242 189 0
136 Morel_Right_VPLa_Ventral_posterior_lateral_anterior 242 151 109 0
137 Morel_Right_VPLp_Ventral_posterior_lateral_posterior 112 109 242 0
138 Morel_Right_VPM_Ventral_posterior_medial 144 242 109 0
